campaign,impressions,clicks,conversions,ad_spend,revenue,retention_rate,customer_ltv,ctr,conversion_rate,cac,roas
Campaign_C,9434,616,235,3589.9121062832437,25726.332205777082,0.7890844513390627,1407.1119864778857,0.06529573881704473,0.3814935064935065,15.276221728864867,7.166284701162898
Campaign_A,3590,527,140,9442.08825829759,6746.7272422218075,0.7914778697450222,1634.2807980821904,0.1467966573816156,0.2656546489563567,67.4434875592685,0.7145376168553463
Campaign_C,2063,1662,85,9189.945592086784,9284.027143546096,0.8940954013422159,3827.592785840528,0.8056228793019874,0.05114320096269555,108.11700696572687,1.010237443792956
Campaign_C,5324,259,295,609.0662676190896,18238.445314107274,0.7204773806050205,4021.133437213815,0.04864763335837716,1.138996138996139,2.0646314156579306,29.944927643757822
Campaign_A,6342,248,286,4776.107001510705,38322.11793446947,0.4682590522425776,1956.2753088001061,0.039104383475244406,1.153225806451613,16.69967483045701,8.023714276574625
Campaign_A,1005,875,165,9782.490213989946,25847.03877895307,0.4667781980277347,2118.525783257168,0.8706467661691543,0.18857142857142858,59.287819478726945,2.6421737424269742
Campaign_C,8489,1353,257,1479.6529428767199,32257.191853095115,0.796622796546253,270.3197444170481,0.15938273059253152,0.18994826311899482,5.757404446991128,21.800512078448037
Campaign_B,9659,1835,227,5703.954596641534,49273.553199443064,0.5010815658093456,1481.2267561728668,0.18997825861890466,0.12370572207084468,25.127553289169754,8.638489729293276
Campaign_C,9195,1685,199,9800.09631689049,38632.26633034727,0.5806120247891329,2283.861627029318,0.18325176726481784,0.11810089020771514,49.246715160253714,3.9420292496273195
Campaign_C,6966,166,172,5777.206529005672,22283.71340891967,0.6679666038070526,629.066079607025,0.023830031581969568,1.036144578313253,33.588410052358554,3.8571779106458517
Campaign_C,9837,1113,189,2303.245378235482,22875.654168030887,0.4136206826668832,2293.6739307373555,0.11314425129612687,0.16981132075471697,12.186483482727418,9.9319223145716
Campaign_C,1117,1935,43,6030.740685879603,31319.831775009246,0.5368504648609626,4273.220270676112,1.7323187108325873,0.022222222222222223,140.24978339254892,5.1933640337648095
Campaign_A,3551,480,50,2442.185452520695,33602.89521252632,0.624339284679004,2927.539047639014,0.13517319065052097,0.10416666666666667,48.8437090504139,13.759354424883329
Campaign_C,6560,157,84,5437.1904974976005,25534.835365996896,0.5537999751712634,440.702782440141,0.023932926829268293,0.535031847133758,64.72845830354287,4.696328991553448
Campaign_B,5289,1382,288,1203.401070167306,32598.199917934016,0.4750036801071612,998.7730282098579,0.2612970315749669,0.20839363241678727,4.178475938080924,27.088391996694806
Campaign_A,1846,441,185,6252.085357536844,2153.09222629084,0.8004067417879086,2398.9945332848533,0.23889490790899243,0.41950113378684806,33.79505598668564,0.34437985138755384
Campaign_B,7316,1961,159,5409.504421717503,22051.52033094536,0.8472312103423917,1839.3613916179697,0.268042646254784,0.08108108108108109,34.02204038816039,4.07644002330699
Campaign_B,7469,1253,282,7531.5330032339,14667.965727600362,0.5416134368790486,1825.6987467531887,0.16776007497656983,0.22505985634477255,26.707563841254963,1.947540523463445
Campaign_B,9915,826,117,6491.654476008458,7329.547816912409,0.8259307220334668,2669.8738683107713,0.08330811901159858,0.14164648910411623,55.484226290670584,1.1290723873244635
Campaign_B,1224,1295,148,5721.259551042188,5877.779127629981,0.6120544604207225,2942.7598118678143,1.0580065359477124,0.11428571428571428,38.65715912866343,1.0273575381769355
Campaign_A,5208,869,280,7052.899067857151,30556.416115118707,0.6786771849697015,3994.4647728671457,0.16685867895545314,0.3222094361334868,25.18892524234697,4.3324618459913
Campaign_A,7283,713,298,1867.448178936193,26656.426810477973,0.870800591191234,1737.784489139299,0.09789921735548537,0.4179523141654979,6.266604627302661,14.2742524859046
Campaign_B,3048,1332,221,6155.916781956738,13425.62173282209,0.8124745249913243,4037.0581010509045,0.43700787401574803,0.16591591591591592,27.854827067677547,2.1809296987531046
Campaign_B,7233,1926,281,2135.0507268163883,24076.55287985321,0.8428142682238977,1726.125584107531,0.26627955205309,0.14589823468328142,7.598045291161524,11.276806015637007
Campaign_A,2828,453,75,9292.460974592868,25119.383443938004,0.47526484162249627,324.39329525910745,0.1601838755304102,0.16556291390728478,123.89947966123825,2.7032003161077105
Campaign_A,2917,1594,257,1149.17399603324,10555.440041492175,0.43834568420855125,2793.2288724737164,0.5464518340761055,0.16122961104140526,4.471494147989261,9.185240945172637
